item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2173916697,Pentax asahi SV 55 mm,Sluiter klinkt goed verdere werking onbekend verzendkosten zijn voor de koper en verzenden is op eigen risico,https://images.marktplaats.com/api/v1/listing-mp-p/images/d3/d3ca447e-98d7-4c2b-8a82-bf4b6bd2cf93?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173916697,52.378442733327,4.6152424669834,0.0,Ophalen of Verzenden,8 okt 24,Ophalen of Verzenden,Liza,False
m2177782723,Kowa Set (defect),Cosmetisch perfecte staat. Alsof hij nieuw van de winkel komt. Helaas werkt hij niet meer goed. De camera maakt een foto zonder op,https://images.marktplaats.com/api/v1/listing-mp-p/images/1c/1c4c322a-376a-414b-9a1d-a1894f133362?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177782723,52.687042320607,6.1755179902313,0.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,bastian,False
m2180472493,311 - Gebruiksaanwijzing KOWA 35N Kleinbeeldcamera,Ik heb voor de verzamelaar/liefhebber te koop: een gebruiksaanwijzing voor de kowa 35n kleinbeelcamera. Het pagina formaat van het,https://images.marktplaats.com/api/v1/listing-mp-p/images/a8/a81d4ef1-ef70-46c1-9529-61c9f4501a38?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180472493,52.217915995054,5.9999915238321,9.95,Verzenden,Vandaag,Verzenden,Verkoop mijn verzameling,False
m2177802515,Partij analoge camera's,Mooie partij analoge camera's. Alle camera's werken behalve de kowa set en de haking mini af. Voor meer foto's of info,https://images.marktplaats.com/api/v1/listing-mp-p/images/b1/b1e70bb1-3e90-4c9f-bbcc-9922c69fe238?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177802515,52.687042320607,6.1755179902313,0.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,bastian,False
m2157835739,KOWA zonnekap 60mm,Kowa zonnekap  vierkant model aansluiting 60mm op klem als nieuw in foudraal,https://images.marktplaats.com/api/v1/listing-mp-p/images/94/94e65a69-28f1-4bf5-bb87-9b2f02212bcc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157835739,51.928959241742,4.5022043793845,25.0,Ophalen of Verzenden,13 sep 24,Ophalen of Verzenden,Hoh,False
m2154573919,analoge camera spiegelreflex,Kowa spiegelreflex camera  analoog doe een bod excl. Verzendkosten,https://images.marktplaats.com/api/v1/listing-mp-p/images/a4/a435a42b-ad6b-4b7a-945c-f77886174809?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154573919,51.828645684952,5.9294810059891,0.0,Ophalen of Verzenden,4 sep 24,Ophalen of Verzenden,Gerard,False
m2146705712,Olympus OM 1n zwart,Olympus om1n zwart 50mm 1.4 Lens orginele cameratas toebehoren: zuiko 100mm 2.8 Nieuwstaat                        sigma mini-wide ,https://images.marktplaats.com/api/v1/listing-mp-p/images/9e/9e852d3b-eeda-471b-a6ac-39d845e61940?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2146705712,50.893231766293,6.0559100562695,0.0,Ophalen,10 sep 24,Ophalen,Bert Ouwerkerk,False
m2163726199,"Kowa SE 50mm camera, werkend!",Mooi werkend! 1:1.9 50Mm kowa lens.,https://images.marktplaats.com/api/v1/listing-mp-p/images/47/47de5300-8d79-4e7c-b2d4-4d25535fe0d1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2163726199,52.045832891261,5.0803584072786,35.0,Ophalen of Verzenden,24 sep 24,Ophalen of Verzenden,hout,False
m2157836289,KOWA zonnekap Kowaflex,Kowa zonnekap kowaflex aansluiting 51mm op klem als nieuw in foudraal,https://images.marktplaats.com/api/v1/listing-mp-p/images/80/8010f2c6-b54f-4eae-892d-ac407b44ddc5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157836289,51.928959241742,4.5022043793845,20.0,Ophalen of Verzenden,13 sep 24,Ophalen of Verzenden,Hoh,False
m2156909754,KOWA H camera met KOWA lens 48mm,"Kowa h camera met kowa lens 48mm zie ook mijn andere advertenties voor meer mooie spulletjes .verzenden via postnl voor 5,95 euro ",https://images.marktplaats.com/api/v1/listing-mp-p/images/a1/a1307b79-211b-47fd-9c2f-377568342719?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2156909754,53.077454635527,6.692764623415,20.0,Ophalen of Verzenden,11 sep 24,Ophalen of Verzenden,de kreupele kat,False
m2134315750,Ashi Pentax S1A zwart + Super Takumar 55mm f2 + lederen hoes,"Zeer nette en volledig werkende camera. Komt met case + 55mm f2 lens 120,- vaste prijs andere biedingen heeft geen zin alleen verz",https://images.marktplaats.com/api/v1/listing-mp-p/images/00/00f7da9e-9899-4866-85d7-6c9e6ee72d4c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2134315750,52.123574786402,6.2265534326538,120.0,Ophalen of Verzenden,8 jul 24,Ophalen of Verzenden,Fotografie and More,False
m2177807079,Pentax Spotmatic F + SMC Takumar 55mm,Pentax spotmatic f + smc takumar 55mm optisch in behoorlijke conditie. Heeft een deuk. Mechanisch werkt hij goed. Lichtmeter geeft,https://images.marktplaats.com/api/v1/listing-mp-p/images/37/37ca2dbd-f4d1-4a1a-b17e-b3d1ca1d9bed?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177807079,52.411780226335,4.8899967199083,45.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Kees,False
m2137591904,PENTAX s1a met belichtingsmeter,Asashi pentax,https://images.marktplaats.com/api/v1/listing-mp-p/images/86/86eb2656-e260-4e92-95d4-5fd1ac8d5bf5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2137591904,51.529090810604,5.0761569242014,0.0,Ophalen,20 jul 24,Ophalen,Kemmelings,False
m2123238536,"Pentax spotmatic sp1000 takumar 28, 50, 55, 135 and 2x 200mm","Selling a set with a pentax spotmatic sp 1000 and a few lenses. Body: black, in really good condition. Some marks of use, nothing ",https://images.marktplaats.com/api/v1/listing-mp-p/images/e2/e2debdec-c2e7-40ca-958c-ad4332b6fb75?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2123238536,52.087812700251,4.7502903960656,550.0,Ophalen of Verzenden,5 jun 24,Ophalen of Verzenden,Álefe Matos,False
m2176763349,Pentax spotmatic F,Pentax spotmatic f,https://images.marktplaats.com/api/v1/listing-mp-p/images/ae/aef1b105-4915-4602-8d51-7172916319a5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176763349,52.71196258377,6.4775337609547,0.0,Ophalen of Verzenden,12 okt 24,Ophalen of Verzenden,mm,False
m2165672513,Fotocamera Pantax Spotmatic,Fotocamera pantax spotmatic,https://images.marktplaats.com/api/v1/listing-mp-p/images/b5/b5cf1f55-63bd-4301-bc6f-163c4ec6b250?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165672513,52.496118912376,4.8087258083914,40.0,Ophalen of Verzenden,27 sep 24,Ophalen of Verzenden,moon,False
m2155824167,Petri FA-1 - Petri EE Auto 55mm f1.7,Een deel van mijn geliefde verzameling mag naar een nieuwe liefhebber. Camera werkend. Belichtingsmeter werkend. Sluiter en film d,https://images.marktplaats.com/api/v1/listing-mp-p/images/48/48d970de-0fc7-4233-81a9-26fb1d0a8377?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2155824167,52.060430736783,4.329103419758,0.0,Ophalen of Verzenden,8 sep 24,Ophalen of Verzenden,Edgar,False
m2180523967,Pentax SP 1000 - lens Takumar 55mm f2,"Aangeboden, een pentax sp1000 - takumar 55mm f2. Op gehoor zijn de sluitertijden nauwkeurig. Body heeft gebruikssporen en de lens ",https://images.marktplaats.com/api/v1/listing-mp-p/images/89/890b4dea-e698-43e1-b9ff-87a9b282e00f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180523967,52.382541864066,4.6368959806565,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Dean,False
