item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2173903919,Nikon EM met Nikon lens serie E - 1.8 - 50mm - 35mm camera,"Echt nog zo goed als nieuw, deze prima werkende : nikon em met nikon lens serie e - 1.8 - 50Mm, met : tora uv filter - rubber zonn",https://images.marktplaats.com/api/v1/listing-mp-p/images/84/848f824e-fbe7-4a29-8824-0154c87e2767?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173903919,52.546453869307,4.6852062182179,0.0,Ophalen of Verzenden,8 okt 24,Ophalen of Verzenden,Tim,False
m2180181339,Nikon F50 camera met toebehoren,Nikon f50 camera met toebehoren. Camera inklusief de flitser en het infodisplay functioneert volledig met een niet oplaadbare 2cr5,https://images.marktplaats.com/api/v1/listing-mp-p/images/89/89643678-027c-4072-9982-5a8afb51eb78?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180181339,51.35960747504,5.3305418532014,0.0,Ophalen of Verzenden,Eergisteren,Ophalen of Verzenden,E. Boer,False
m2178346445,Canon EZ.zoom analoge 35mm compactcamera.,Mooie goed werkende yashica kyocera ez.zoom analoge 35mm compact camera. Met doosje en handleidingen automatische belichting en tr,https://images.marktplaats.com/api/v1/listing-mp-p/images/1c/1c5cc728-46b9-40cd-b89c-f6b1d4302a14?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178346445,50.849712166128,5.7189497326747,25.0,Ophalen of Verzenden,14 okt 24,Ophalen of Verzenden,e,False
m2151752720,Minolta Dynax 505 SI. Weinig gebruikt.,Minolta dynax 505 si. Weinig gebruikt.,https://images.marktplaats.com/api/v1/listing-mp-p/images/c7/c713a50a-7b01-4489-a404-7c8515a4f4da?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2151752720,52.005006095185,5.548027801647,75.0,Ophalen,28 aug 24,Ophalen,E.P.,False
m2155009319,Minolta AF - E II fototoestel analoog 29636,"Niet getest verzenden is geen probleem en doen we met postnl de kosten hiervoor bedragen 6,95 mocht u nog vragen hebben kunt u alt",https://images.marktplaats.com/api/v1/listing-mp-p/images/1f/1f8966fb-3013-44a8-b60f-82144bb3aec7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2155009319,53.178869946976,6.6737660543595,10.0,Ophalen of Verzenden,6 sep 24,Ophalen of Verzenden,Tweedehands050,False
m2145541514,Voigtlander fotocamera set,Voigtlander fotocamera set,https://images.marktplaats.com/api/v1/listing-mp-p/images/6b/6b390dcf-6843-48a8-be33-fc837d3754cc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2145541514,52.381065389255,4.8687682766715,150.0,Ophalen of Verzenden,10 aug 24,Ophalen of Verzenden,E Hut,False
m2136689675,Revueflex E analoge spiegelreflex camera,Mooie camera met lichte gebruikerssporen. Mag wat schoongemaakt worden maar in prima staat. Heb hem zelf nooit gebruikt dus kan ni,https://images.marktplaats.com/api/v1/listing-mp-p/images/6a/6a9680cd-c67e-4e4f-9ed8-c9c14ac3e4c5?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2136689675,52.463360949514,6.0726991879141,25.0,Ophalen of Verzenden,14 jul 24,Ophalen of Verzenden,Paul Klein,False
m2152634234,Primax tussenlens Pentri,Tussenring petri ttl schroefdraad bajonet,https://images.marktplaats.com/api/v1/listing-mp-p/images/25/252ec5e3-70f9-4906-be55-f841dc040842?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2152634234,51.81807413483,4.7705725863299,0.0,Ophalen of Verzenden,30 aug 24,Ophalen of Verzenden,E&A,False
m2155295934,Analoge camera’s,"Camera's zien er allemaal goed uit, gezien de leeftijd wel wat gebruikers sporen. Bij ophalen kan de camera e.v.t. Getest word",https://images.marktplaats.com/api/v1/listing-mp-p/images/d3/d3daed65-1275-4086-8729-97c9dd0371b7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2155295934,53.199072167539,6.5529863459697,100.0,Ophalen of Verzenden,7 sep 24,Ophalen of Verzenden,Marcel,False
m2166508975,Six-20 Brownie E Kodak,Deze boxcamera komt uit de periode 1947-1953. Graag bieden naar waarde.,https://images.marktplaats.com/api/v1/listing-mp-p/images/11/11e323e2-2669-458e-a4ac-5e87816d002b?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2166508975,52.012495517287,5.4349505207268,10.0,Ophalen of Verzenden,28 sep 24,Ophalen of Verzenden,Chris,False
m2171350495,Vintage Camera Exa 500,Vintage camera exa 500 hij zet netjes uit verder ongetest,https://images.marktplaats.com/api/v1/listing-mp-p/images/64/64279a28-22fd-4df6-a3ad-f7a746bc5750?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2171350495,51.822150059405,4.7787808070826,5.0,Ophalen of Verzenden,4 okt 24,Ophalen of Verzenden,Alfa-E,False
m2175688869,LR44 SR44 to PX640 battery adapter Yashica Electro 35 FC TL,You can use this adapter to replace a px640 battery (px640 / epx640 / v640px / h-n / e640n / mr52 / nr52 / 1126mp) with a 1.5V lr4,https://images.marktplaats.com/api/v1/listing-mp-p/images/e3/e35cc425-e7e1-4dce-8a5a-7705277cbc69?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2175688869,51.43848081236,5.474243383633,12.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,Ilias,False
m2175817805,Minolta X-300 Camera Set | In nette staat,Nu te koop bij used products sittard:   alle artikelen zijn in een goede conditie en komt met: milolta x-300 camera body minolta 3,https://images.marktplaats.com/api/v1/listing-mp-p/images/d7/d71d274c-11a0-447b-af8c-8482b645ee84?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2175817805,50.998815262877,5.8643217376309,89.99,,11 okt 24,Zo goed als nieuw,Used Products Sittard,False
m2178299977,Fuji DL-550 Zoom date in goede staat,Zeer handzame en gebruiksvriendelijke camera van fuji. De camera spoelt de film eerst uit en na elke opname spoelt de camera de fi,https://images.marktplaats.com/api/v1/listing-mp-p/images/a6/a6eef28a-dbec-4d5d-8d12-7a8051b9eacd?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178299977,52.175695608063,4.9984603020989,85.0,Ophalen of Verzenden,14 okt 24,Ophalen of Verzenden,ariea322,False
m2157632629,Zeiss Ikon IKOFLEX goede staat,"Zeiss ikon ikoflex, tlr, in goede staat met kleine gebruikssporen op hoekjes van de kast. Een ikonisch toestel! Bieden vanaf &euro",https://images.marktplaats.com/api/v1/listing-mp-p/images/e3/e33fde53-1e7e-4652-9e13-5e946dc803b0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157632629,52.489194392565,5.4932015769262,0.0,Ophalen of Verzenden,13 sep 24,Ophalen of Verzenden,analogika,False
m2179245867,"Mooie Zenit-E + Helios 44-2 objectief in goede staat, M42",Hierbij bied ik een mooie en werkende zenit-e analoge spiegelreflex camera aan met een helios 44-2. De camera is in nette conditie,https://images.marktplaats.com/api/v1/listing-mp-p/images/b9/b9481f84-5f5b-4202-aceb-36515c98e9dd?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2179245867,51.968349836465,4.5765915327825,60.0,Ophalen,15 okt 24,Ophalen,Barry,False
m2150766830,Sony NEX5,Sony nex5 nog een perfect toestel maak er zelf geen gebruik meer van.,https://images.marktplaats.com/api/v1/listing-mp-p/images/bc/bcdab622-c32c-412f-ad92-0b3b1322d3ef?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2150766830,52.031631616876,5.1727811723198,110.0,Ophalen,25 aug 24,Ophalen,E,False
m2161217041,Reveu 4 in nieuwe staat !,Reveu 4 in prachtige staat en goed werkend schone camera tijden lopen perfect de n-61 52mm 2.8 Lens is ook als nieuw en werking is,https://images.marktplaats.com/api/v1/listing-mp-p/images/6b/6b94cf4d-1c9a-46b3-b0bb-2c9bda0ce70a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2161217041,53.171137329652,5.4171775124107,55.0,Ophalen of Verzenden,21 sep 24,Ophalen of Verzenden,Chris,False
m2140733737,Zenit E Black + Mir 1 37mm f2.8,Een deel van mijn geliefde verzameling mag naar een nieuwe liefhebber. Camera werkend. Lichtmeter niet getest. Vraag gerust om mee,https://images.marktplaats.com/api/v1/listing-mp-p/images/37/37d8d83b-7027-489a-a39c-7b0120715461?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2140733737,52.060430736783,4.329103419758,0.0,Ophalen of Verzenden,14 sep 24,Ophalen of Verzenden,Edgar,False
m2165851887,Fotocamera draag/nek band - NIEUW - Sony,Zie foto's.,https://images.marktplaats.com/api/v1/listing-mp-p/images/15/15ae81ef-dcbe-402e-bac4-c70a071290fb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165851887,51.980322668135,5.085289023765,7.0,Ophalen of Verzenden,27 sep 24,Ophalen of Verzenden,M&E,False
m2157308123,"Mooie Zenit E + Meyer optik Gollitz Telemegor 180mm 5.5, M42",Hierbij bied ik een mooie en werkende zenit-e analoge spiegelreflex camera aan met een meyer optik gollitz telemegor 180mm 5.5. De,https://images.marktplaats.com/api/v1/listing-mp-p/images/2f/2fecbe30-95a0-458d-9045-43de66f75350?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157308123,51.968349836465,4.5765915327825,70.0,Ophalen,12 sep 24,Ophalen,Barry,False
m2179891733,Kodak instamatic 100,Kodak instamatic 100 te koop.,https://images.marktplaats.com/api/v1/listing-mp-p/images/b4/b47fb111-fe33-4723-8cf6-6dc7eb28df62?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2179891733,51.573883149089,5.0757873871339,0.0,Ophalen,Eergisteren,Ophalen,A v d G,False
m2181605667,Olympus 35-S,Olympus 35-s nr. 121254 C1955-58 goed werkende camera. Lenzen zijn schoon. ----------------------------------- Bieden v.a. € ,https://images.marktplaats.com/api/v1/listing-mp-p/images/47/4719142e-0d72-4379-8315-316b628d1208?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2181605667,51.801059940684,4.3940170220769,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,PC,False
m2181728039,Hasselblad PM5 prismazoeker,Prismazoeker voor de hasselblad v-serie. Doe een goed bod.,https://images.marktplaats.com/api/v1/listing-mp-p/images/55/55a4c069-1b31-4c1c-8f8f-32b95e6a5ed0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2181728039,51.569250580054,5.3682488429309,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Jasper van den Ham,False
m2165785409,NEOCA SV,"Neoca sv c1959 2.8-4,5 Cm zunow opt. Incl. Org. Tas. Zeer mooie goed werkende camera. Bieden v.a. € 550,00",https://images.marktplaats.com/api/v1/listing-mp-p/images/d8/d8e281a2-176e-4b87-94d2-ffa75eb9cfd9?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2165785409,51.801059940684,4.3940170220769,0.0,Ophalen,27 sep 24,Ophalen,PC,False
m2176961181,Konica C35 V analoge camera,"De konica c35 v, oorspronkelijk uitgebracht in 1968, is een 35mm rangefinder point and shoot. De c35 stond bekend om zijn compacte",https://images.marktplaats.com/api/v1/listing-mp-p/images/7d/7df85e38-02de-4a80-bc3c-5a7fab5ef025?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176961181,53.215765394808,6.5075114576799,0.0,Ophalen of Verzenden,12 okt 24,Ophalen of Verzenden,Marr,False
m2148541653,Konica c35 V,Ik heb deze getest met batterij en deze werkt met lichtmeter. Ik woon en verzend vanuit belgië,https://images.marktplaats.com/api/v1/listing-mp-p/images/e3/e3936a8b-7023-4995-a41a-9d3fc9e768b2?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2148541653,51.447700297282,4.929436502791,0.0,Ophalen of Verzenden,19 aug 24,Ophalen of Verzenden,yanvan,False
m2180519479,telelens voor Nikon fotocamera,Sigmazoomlens 1: 3.8 75-200Mm voor nikon f801 in goede staat *vraagprijs v.a 50.00 Euro. Excl. Verzendkosten dhl.,https://fotohandeldelfshaven.b-cdn.net/wp-content/uploads/2024/02/52301.jpg,https://link.marktplaats.nl/m2180519479,52.432480739693,4.666502887064,0.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,Inga De smit,False
m2178257153,"Kodak instamatic camera,","Kodak instamatic camera . Bekijk ook mijn andere advertenties de moeite waard, verzendkosten zijn voor de koper",https://images.marktplaats.com/api/v1/listing-mp-p/images/9a/9ac74ea2-8b8e-46d3-b92f-80c16783c08c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178257153,52.058486208998,4.3345997317388,12.5,Ophalen of Verzenden,14 okt 24,Ophalen of Verzenden,Marijke v. kre,False
m2178100833,Rolleicord V b Paraattas Leder,Zeer nette rolleicord v b paraattas. Niet gebruikt om camera. Geen verpakking aanwezig,https://images.marktplaats.com/api/v1/listing-mp-p/images/c6/c628ec39-ee83-4b50-8868-3129f6be3990?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178100833,52.468068577126,6.4911016004341,35.0,Verzenden,14 okt 24,Verzenden,Henk080851,False
m2178217859,polaroid fotocamera uit de zestiger jaren,De 103 is een v d eerste consumenten modellen van de 100-400 serie van opvouwbare packfilm land camera's ;het heeft een opvouw,https://images.marktplaats.com/api/v1/listing-mp-p/images/86/860f0a9a-9d31-470b-8eaa-b04276e7bd4e?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178217859,52.014629041629,5.3793866739492,0.0,Ophalen,14 okt 24,Ophalen,memanuel,False
m2174664161,fototoestel,Oud fototoestel met draaghoes. Nette staat en alles werkt,https://images.marktplaats.com/api/v1/listing-mp-p/images/4f/4f16c93d-5ebf-42ba-97a8-14d9abdd310d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2174664161,52.29757983241,5.2605995986794,0.0,Ophalen of Verzenden,9 okt 24,Ophalen of Verzenden,v d berg,False
m2176112163,Ilford Sportsman Auto RF,Analoge 60-er jaren kleinbeeld fotocamera. Met gekoppelde afstands meter. Prontor 500 lk sluiter en steinhell cassar 2.8-45 Mm obj,https://images.marktplaats.com/api/v1/listing-mp-p/images/f7/f784a11e-e116-4792-b2cb-2bcb5ee94f51?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176112163,52.110252351737,5.1305993639967,0.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,robert,False
m2180708867,Collectie camera's en accessoires,"(""ontdek gsd auctions! Dé plek waar online op transparante en eerlijke wijze geveild wordt bied nu mee met dit prachtige kave",https://images.marktplaats.com/api/v1/listing-mp-p/images/d0/d0d3baea-0c46-4761-a4ae-6e210dbe0b16?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180708867,52.138091811051,4.5301390993546,0.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,GSD Auctions B.V.,False
m2180708877,Collectie camera's,"(""ontdek gsd auctions! Dé plek waar online op transparante en eerlijke wijze geveild wordt bied nu mee met dit prachtige kave",https://images.marktplaats.com/api/v1/listing-mp-p/images/90/90b6332b-988e-4fde-b765-412a1a0d49ca?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2180708877,52.138091811051,4.5301390993546,0.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,GSD Auctions B.V.,False
m2181012813,Praktica MTL5 spiegelreflexcamera,Spiegelreflexcamera 1.8 Met 50 mm lens t.b.v. Rolletjes compleet met beschrijving en hoes. Body geeft enkele gebruikerssporen zie ,https://images.marktplaats.com/api/v1/listing-mp-p/images/e9/e914f7be-3188-4c34-ba10-6e4f1dd58f65?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2181012813,51.361928912026,6.1238876709137,15.0,Ophalen of Verzenden,Gisteren,Ophalen of Verzenden,peelen,False
m2181557433,Instax mini 11 met hoesje,"Ik had hem gekocht vanuit het idee om een fotoslinger te maken op m'n kamer. Dit is gelukt, de slinger is vol, helaas gebruik ",https://images.marktplaats.com/api/v1/listing-mp-p/images/65/65eb41c2-fc40-4dad-b3ba-0f02f150c52c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2181557433,51.848378882899,4.6292123236638,70.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Mar,False
m2167751273,Minolta Hi - Matic AF2 fotocamera,Analoge fotocamera ik heb deze camera in (wat het lijkt) nette staat gevonden in het huis van mijn opa. Zelf geen fan van fotograf,https://images.marktplaats.com/api/v1/listing-mp-p/images/9d/9dc2ac5e-7389-47dd-8c32-4b2e87c59d65?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2167751273,52.196666142658,4.5836092441398,0.0,Ophalen of Verzenden,30 sep 24,Ophalen of Verzenden,A. van Veen,False
m2153187603,Olympus Fotocamera.,Een perfect werkende is 200 glad asferical lens. High power twin flash. Met tas en gebruiksaanwijzing boekje ect.,https://images.marktplaats.com/api/v1/listing-mp-p/images/66/66c0dc47-9573-4c03-aaa5-ab581f61cf2a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2153187603,51.817292100054,4.6710829235997,0.0,Ophalen of Verzenden,1 sep 24,Ophalen of Verzenden,F.V guitar,False
m2175882819,Canon camera met accessoires,"(""ontdek gsd auctions! Dé plek waar online op transparante en eerlijke wijze geveild wordt bied nu mee met dit prachtige kave",https://images.marktplaats.com/api/v1/listing-mp-p/images/c3/c3504b86-0ce2-4732-bd6c-9d0478afee3f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2175882819,52.138091811051,4.5301390993546,0.0,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,GSD Auctions B.V.,False
m2173450795,Fotocamera PrakticaL TL,==================== zie foto's bieden ======= verzendkosten voor koper,https://images.marktplaats.com/api/v1/listing-mp-p/images/8c/8c8c909e-e221-4890-aba5-137b007ca6ce?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173450795,51.500741938715,3.6808716690466,0.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,Wim v.d.Voorde,False
m2145340224,Canon AE-1 fotocamera,Mooie camera intresse bel 0658918995,https://images.marktplaats.com/api/v1/listing-mp-p/images/89/89d96b5e-2df9-473d-aee1-5a9e08a3fe6c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2145340224,51.981476442261,6.4381967536688,0.0,Ophalen,9 aug 24,Ophalen,v.w,False
m2157998372,Argus fototoestel gekocht in Detroit 1956. Tevens statief.,Fotocamera met statief,https://images.marktplaats.com/api/v1/listing-mp-p/images/7d/7daa929a-f0c5-427e-9b70-d8d8cce8883c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2157998372,52.649729016475,5.1068297405749,0.0,Ophalen of Verzenden,14 sep 24,Ophalen of Verzenden,J.V. van Zanten,False
m2156816180,PAXETTE,Hierbij enkele braun paxette camera’s met vaste of losse lenzen (zie foto’s). Bieden per item (vragen staat uiteraard vrij) de cam,https://images.marktplaats.com/api/v1/listing-mp-p/images/a7/a792a43c-7cf3-42bc-a83c-17c4c29c0ee6?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2156816180,50.971321178746,5.976863775125,0.0,Ophalen of Verzenden,11 sep 24,Ophalen of Verzenden,willy,False
m2138793105,Canon Camera Eos 300 V,"Canon eos 300 v analoge camera helaas gebruik ik deze camera niet meer, daarom in de verkoop voor  een echte liefhebber kan gebrui",https://images.marktplaats.com/api/v1/listing-mp-p/images/d5/d5fcaf52-eaa4-447a-8fd5-c2516a6facb0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2138793105,51.876088658425,6.3540917283804,0.0,Ophalen,21 jul 24,Ophalen,Marc,False
m2178141097,Canon Ixus II APS-camera met afstandsbediening,Amper gebruikt nog als nieuw  camera kan ik ook verzenden,https://images.marktplaats.com/api/v1/listing-mp-p/images/66/6618ab7c-8a00-4690-8379-7fd6de29417f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2178141097,51.714526670326,5.1996053191101,65.0,Ophalen,14 okt 24,Ophalen,Karel V,False
m2171544323,Rolleicord V 3.5 Xenar,Te koop aangeboden mooie rolleicord.  Lenzen schimmel en krasvrij. Sluiter op snellere tijden prima. Langere tijden zijn plakkerig,https://images.marktplaats.com/api/v1/listing-mp-p/images/3f/3f795a58-1d3b-435e-b75c-c314182673e0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2171544323,50.858072578707,5.7130454877004,175.0,Ophalen of Verzenden,5 okt 24,Ophalen of Verzenden,Peetje1970,False
m2177683631,"Canon EOS300 V  heel aparte camera,half digitaal half analoo","Canon eos300 v heel aparte camera,half digitaal half analoog",https://images.marktplaats.com/api/v1/listing-mp-p/images/25/252f0295-0656-4282-bd8c-5d3359a90064?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177683631,52.504771232079,5.4858205399703,30.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,henk.hilbrands,False
m2154069526,Fototoestel  Ontspanningskabel,Ontspanningskabel werkt perfect wordt verzonden in pakje i.v.m beschadigen,https://images.marktplaats.com/api/v1/listing-mp-p/images/7f/7f5a8def-d20e-4321-b6e7-ea3e19695917?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154069526,53.073213282388,6.576289618109,0.0,Ophalen of Verzenden,3 sep 24,Ophalen of Verzenden,Petervm,False
m2164436329,Polaroid camera,"(""ontdek gsd auctions! Dé plek waar online op transparante en eerlijke wijze geveild wordt bied nu mee met dit prachtige kave",https://images.marktplaats.com/api/v1/listing-mp-p/images/99/9935d1a6-92bf-489b-b8a6-71f74d92383a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2164436329,52.138091811051,4.5301390993546,0.0,Ophalen of Verzenden,25 sep 24,Ophalen of Verzenden,GSD Auctions B.V.,False
m2175896273,Zenit camera's (body's) uit Rusland,Diverse type's russische / soviet (mechanische) zenit spiegelreflex camera's (body's) voor de liefhebber. Prijs afhank,https://images.marktplaats.com/api/v1/listing-mp-p/images/d3/d32bc95a-4146-49a0-9ffa-606341758235?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2175896273,50.971321178746,5.976863775125,9.99,Ophalen of Verzenden,11 okt 24,Ophalen of Verzenden,willy,False
m2166971523,3x camera analoog Canon,Van links naar rechts: 1. Canon top shot lens 38mm 1:2.8 + Handleiding 2. Canon eos 600 + handleiding 3. Canon eos 500 interesse? ,https://images.marktplaats.com/api/v1/listing-mp-p/images/57/57ba9273-9208-487d-b9b7-2f6a09c69174?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2166971523,51.796934701144,5.2542400261453,0.0,Ophalen,29 sep 24,Ophalen,H. v. W.,False
m2173941971,Kodak camera,========= zie foto's vraagprijs 8 euro ============= verzendkosten voor koper,https://images.marktplaats.com/api/v1/listing-mp-p/images/a9/a90e1c37-fcdb-45bf-931b-a60f9b846779?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173941971,51.500741938715,3.6808716690466,8.0,Ophalen of Verzenden,8 okt 24,Ophalen of Verzenden,Wim v.d.Voorde,False
m2173684321,Lens 28-80 canon ultrasonic,"De body is stuk, het gaat alleen om de lens",https://images.marktplaats.com/api/v1/listing-mp-p/images/2a/2ad5cca9-38ec-473f-81e2-b43a2d1547c9?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173684321,51.906896366057,4.5020155587354,0.0,Ophalen,8 okt 24,Ophalen,J. v.d. Maarel,False
m2139832169,Canon EOS 300 V camera,Te koop analoge canon eos 300 v camera,https://images.marktplaats.com/api/v1/listing-mp-p/images/d9/d916fd5e-35a6-48da-b20d-cfac1b90955a?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2139832169,51.841396168209,4.1476161126204,0.0,Ophalen,24 jul 24,Ophalen,Assie,False
m2009598629,Hasselblad reparaties,"Hasselblad reparaties met support van de fabriek. Als ,,hassyparts"" grote voorraad onderdelen waardoor reparaties zonder vert",https://images.marktplaats.com/api/v1/listing-mp-p/images/d3/d324e41c-fa25-46a4-b65c-07636be01615?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2009598629,52.541880754035,5.7130421887332,0.0,Ophalen of Verzenden,26 sep 24,Ophalen of Verzenden,Wilco Jansen,False
m2166965209,"3 camera's analoog Minolta, Praktica, Agfa",Van links naar rechts: 1. Minolta srt100x + lens minolta md rokkor diameter 49 45mm 1:2 + handleiding + hoes 2. Praktica pl nova1 ,https://images.marktplaats.com/api/v1/listing-mp-p/images/26/26fca2c1-a456-458c-a13b-ededd1e4bca3?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2166965209,51.796934701144,5.2542400261453,0.0,Ophalen,29 sep 24,Ophalen,H. v. W.,False
m2173090775,Mooie  minolta  camara,Minolta camara,https://images.marktplaats.com/api/v1/listing-mp-p/images/9b/9b49657e-911b-4fc0-9b34-fc1271baa824?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2173090775,51.658932847783,4.9505474904725,0.0,Ophalen of Verzenden,7 okt 24,Ophalen of Verzenden,J. V. A,False
m2176677393,Fuji DL -180 Tele Fototoestel met tas en 2 fotorolletjes.  V,"Fuji dl -180 tele fototoestel met tas en 2 fotorolletjes. Volledig automatisch, heeft een ingebouwde flitser en maakt gebruik van ",https://images.marktplaats.com/api/v1/listing-mp-p/images/20/20eba64e-2603-48fc-8089-b99892e7f7bf?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2176677393,52.018736102618,5.5435766120471,45.0,Ophalen of Verzenden,12 okt 24,Ophalen of Verzenden,Gerard6742,False
m2164942177,Minolta AF-DL analoog camera,Camera van minolta werkt op batterijen zie foto moeten nieuwe in,https://images.marktplaats.com/api/v1/listing-mp-p/images/c5/c50a447e-3789-4595-83fc-5b6496d7a4bc?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2164942177,52.137278158523,5.0555227919637,30.0,Ophalen of Verzenden,26 sep 24,Ophalen of Verzenden,Miranda v eyk,False
m2144519492,Mooie canon camera,Hallo hier bij bied ik een camera te koop aan doe een goed bod is die van u m.v.g mike,https://images.marktplaats.com/api/v1/listing-mp-p/images/62/6223cbb3-75c3-40f0-89a2-1f40191ca68d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2144519492,52.195337868101,6.0158231921791,0.0,Ophalen of Verzenden,7 aug 24,Ophalen of Verzenden,mike,False
m2168957983,Agfa B2 vintage boxcamera,Mooie agfa b2 camera. 14 X 9 x 11 film: icoschrom b2 6x9cm -----------------------------------------------------------------------,https://images.marktplaats.com/api/v1/listing-mp-p/images/9b/9b0dce30-a638-4a89-b178-cfb0f5e52335?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2168957983,51.788233343019,5.8404326058482,39.65,Ophalen of Verzenden,1 okt 24,Ophalen of Verzenden,Kringloop Malden,False
m2172378721,CANON IXUS II,"Mooi compact analoog fototoestel van canon, de ixus 2 met zoomfunctie van 23 - 46 mm. Werkt prima en is voorzien van nieuwe batter",https://images.marktplaats.com/api/v1/listing-mp-p/images/f7/f7860519-9a10-4041-8b23-200b086c665c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2172378721,53.215289678918,5.8446350889938,50.0,Ophalen of Verzenden,6 okt 24,Ophalen of Verzenden,Klaas v/d Heide,False
